"Grants of entry clearance visas, by course level, 2018 to 2025 Q1 - dataset [Notes 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12] ",,,,,,
Link to notes,,,,,,
Year,Quarter,Nationality,Region,Visa type subgroup,Course level,Grants
2018,2018 Q1,Afghanistan,Asia Central,Tier 4 - General Student,Below Bachelors,2
2018,2018 Q1,Afghanistan,Asia Central,Tier 4 - General Student,Masters,5
2018,2018 Q1,Albania,Europe Other,Tier 4 - General Student,Bachelors,4
2018,2018 Q1,Albania,Europe Other,Tier 4 - General Student,Below Bachelors,4
2018,2018 Q1,Albania,Europe Other,Tier 4 - General Student,Masters,11
2018,2018 Q1,Albania,Europe Other,Tier 4 - General Student,Pre-sessional English,3
2018,2018 Q1,Algeria,Africa North,Tier 4 - General Student,Bachelors,5
2018,2018 Q1,Algeria,Africa North,Tier 4 - General Student,Below Bachelors,18
2018,2018 Q1,Algeria,Africa North,Tier 4 - General Student,Doctoral,14
2018,2018 Q1,Algeria,Africa North,Tier 4 - General Student,Masters,7
2018,2018 Q1,Algeria,Africa North,Tier 4 - General Student,Pre-sessional English,1
2018,2018 Q1,Andorra,Europe Other,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Angola,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,6
2018,2018 Q1,Angola,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,22
2018,2018 Q1,Angola,Africa Sub-Saharan,Tier 4 - General Student,Masters,6
2018,2018 Q1,Antigua and Barbuda,America Central and South,Tier 4 - General Student,Masters,2
2018,2018 Q1,Argentina,America Central and South,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Argentina,America Central and South,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Argentina,America Central and South,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Armenia,Europe Other,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Armenia,Europe Other,Tier 4 - General Student,Masters,1
2018,2018 Q1,Australia,Oceania,Tier 4 - General Student,Bachelors,33
2018,2018 Q1,Australia,Oceania,Tier 4 - General Student,Doctoral,7
2018,2018 Q1,Australia,Oceania,Tier 4 - General Student,Masters,6
2018,2018 Q1,Azerbaijan,Europe Other,Tier 4 - General Student,Bachelors,2
2018,2018 Q1,Azerbaijan,Europe Other,Tier 4 - General Student,Below Bachelors,3
2018,2018 Q1,Azerbaijan,Europe Other,Tier 4 - General Student,Doctoral,2
2018,2018 Q1,Azerbaijan,Europe Other,Tier 4 - General Student,Masters,4
2018,2018 Q1,"Bahamas, The",America Central and South,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,"Bahamas, The",America Central and South,Tier 4 - General Student,Masters,2
2018,2018 Q1,Bahrain,Middle East,Tier 4 - General Student,Bachelors,4
2018,2018 Q1,Bahrain,Middle East,Tier 4 - General Student,Below Bachelors,8
2018,2018 Q1,Bahrain,Middle East,Tier 4 - General Student,Doctoral,5
2018,2018 Q1,Bahrain,Middle East,Tier 4 - General Student,Masters,7
2018,2018 Q1,Bahrain,Middle East,Tier 4 - General Student,Pre-sessional English,1
2018,2018 Q1,Bangladesh,Asia South,Tier 4 - General Student,Bachelors,47
2018,2018 Q1,Bangladesh,Asia South,Tier 4 - General Student,Below Bachelors,27
2018,2018 Q1,Bangladesh,Asia South,Tier 4 - General Student,Doctoral,17
2018,2018 Q1,Bangladesh,Asia South,Tier 4 - General Student,Masters,128
2018,2018 Q1,Bangladesh,Asia South,Tier 4 - General Student,Pre-sessional English,3
2018,2018 Q1,Barbados,America Central and South,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Barbados,America Central and South,Tier 4 - General Student,Masters,1
2018,2018 Q1,Belarus,Europe Other,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Belarus,Europe Other,Tier 4 - General Student,Masters,4
2018,2018 Q1,Belize,America Central and South,Tier 4 - General Student,Masters,1
2018,2018 Q1,Benin,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,2
2018,2018 Q1,Benin,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Benin,Africa Sub-Saharan,Tier 4 - General Student,Masters,2
2018,2018 Q1,Bhutan,Asia South,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Bhutan,Asia South,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Bhutan,Asia South,Tier 4 - General Student,Masters,2
2018,2018 Q1,Bolivia,America Central and South,Tier 4 - General Student,Below Bachelors,2
2018,2018 Q1,Bosnia and Herzegovina,Europe Other,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Bosnia and Herzegovina,Europe Other,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Botswana,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,2
2018,2018 Q1,Botswana,Africa Sub-Saharan,Tier 4 - General Student,Doctoral,9
2018,2018 Q1,Botswana,Africa Sub-Saharan,Tier 4 - General Student,Masters,4
2018,2018 Q1,Brazil,America Central and South,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Brazil,America Central and South,Tier 4 - General Student,Below Bachelors,7
2018,2018 Q1,Brazil,America Central and South,Tier 4 - General Student,Doctoral,16
2018,2018 Q1,Brazil,America Central and South,Tier 4 - General Student,Masters,15
2018,2018 Q1,Brazil,America Central and South,Tier 4 - General Student,Pre-sessional English,1
2018,2018 Q1,British overseas citizens,Other,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Brunei,Asia South East,Tier 4 - General Student,Bachelors,3
2018,2018 Q1,Brunei,Asia South East,Tier 4 - General Student,Below Bachelors,2
2018,2018 Q1,Brunei,Asia South East,Tier 4 - General Student,Doctoral,3
2018,2018 Q1,Brunei,Asia South East,Tier 4 - General Student,Masters,3
2018,2018 Q1,Burkina Faso,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Burundi,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,2
2018,2018 Q1,Cambodia,Asia South East,Tier 4 - General Student,Bachelors,2
2018,2018 Q1,Cambodia,Asia South East,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Cambodia,Asia South East,Tier 4 - General Student,Masters,2
2018,2018 Q1,Cambodia,Asia South East,Tier 4 - General Student,Pre-sessional English,1
2018,2018 Q1,Cameroon,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,8
2018,2018 Q1,Cameroon,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,3
2018,2018 Q1,Cameroon,Africa Sub-Saharan,Tier 4 - General Student,Doctoral,2
2018,2018 Q1,Cameroon,Africa Sub-Saharan,Tier 4 - General Student,Masters,8
2018,2018 Q1,Cameroon,Africa Sub-Saharan,Tier 4 - General Student,Pre-sessional English,3
2018,2018 Q1,Canada,America North,Tier 4 - General Student,Bachelors,24
2018,2018 Q1,Canada,America North,Tier 4 - General Student,Below Bachelors,5
2018,2018 Q1,Canada,America North,Tier 4 - General Student,Doctoral,13
2018,2018 Q1,Canada,America North,Tier 4 - General Student,Masters,31
2018,2018 Q1,Chile,America Central and South,Tier 4 - General Student,Bachelors,4
2018,2018 Q1,Chile,America Central and South,Tier 4 - General Student,Below Bachelors,3
2018,2018 Q1,Chile,America Central and South,Tier 4 - General Student,Doctoral,15
2018,2018 Q1,Chile,America Central and South,Tier 4 - General Student,Masters,3
2018,2018 Q1,China,Asia East,Tier 4 - General Student,Bachelors,543
2018,2018 Q1,China,Asia East,Tier 4 - General Student,Below Bachelors,468
2018,2018 Q1,China,Asia East,Tier 4 - General Student,Doctoral,278
2018,2018 Q1,China,Asia East,Tier 4 - General Student,Masters,496
2018,2018 Q1,China,Asia East,Tier 4 - General Student,Pre-sessional English,919
2018,2018 Q1,Colombia,America Central and South,Tier 4 - General Student,Bachelors,6
2018,2018 Q1,Colombia,America Central and South,Tier 4 - General Student,Below Bachelors,6
2018,2018 Q1,Colombia,America Central and South,Tier 4 - General Student,Doctoral,8
2018,2018 Q1,Colombia,America Central and South,Tier 4 - General Student,Masters,16
2018,2018 Q1,Colombia,America Central and South,Tier 4 - General Student,Pre-sessional English,2
2018,2018 Q1,Congo,Africa Sub-Saharan,Tier 4 - General Student,Masters,1
2018,2018 Q1,Congo (Democratic Republic),Africa Sub-Saharan,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Congo (Democratic Republic),Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Congo (Democratic Republic),Africa Sub-Saharan,Tier 4 - General Student,Masters,1
2018,2018 Q1,Dominica,America Central and South,Tier 4 - General Student,Bachelors,2
2018,2018 Q1,Dominica,America Central and South,Tier 4 - General Student,Masters,2
2018,2018 Q1,Dominican Republic,America Central and South,Tier 4 - General Student,Masters,2
2018,2018 Q1,Ecuador,America Central and South,Tier 4 - General Student,Bachelors,2
2018,2018 Q1,Ecuador,America Central and South,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Ecuador,America Central and South,Tier 4 - General Student,Doctoral,8
2018,2018 Q1,Ecuador,America Central and South,Tier 4 - General Student,Masters,4
2018,2018 Q1,Egypt,Africa North,Tier 4 - General Student,Bachelors,29
2018,2018 Q1,Egypt,Africa North,Tier 4 - General Student,Below Bachelors,32
2018,2018 Q1,Egypt,Africa North,Tier 4 - General Student,Doctoral,29
2018,2018 Q1,Egypt,Africa North,Tier 4 - General Student,Masters,18
2018,2018 Q1,Egypt,Africa North,Tier 4 - General Student,Pre-sessional English,1
2018,2018 Q1,El Salvador,America Central and South,Tier 4 - General Student,Masters,1
2018,2018 Q1,Eritrea,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Eswatini,Africa Sub-Saharan,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,Ethiopia,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,2
2018,2018 Q1,Ethiopia,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,2
2018,2018 Q1,Ethiopia,Africa Sub-Saharan,Tier 4 - General Student,Doctoral,2
2018,2018 Q1,Ethiopia,Africa Sub-Saharan,Tier 4 - General Student,Masters,1
2018,2018 Q1,Gabon,Africa Sub-Saharan,Tier 4 - General Student,Masters,2
2018,2018 Q1,"Gambia, The",Africa Sub-Saharan,Tier 4 - General Student,Bachelors,6
2018,2018 Q1,"Gambia, The",Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,4
2018,2018 Q1,"Gambia, The",Africa Sub-Saharan,Tier 4 - General Student,Doctoral,1
2018,2018 Q1,"Gambia, The",Africa Sub-Saharan,Tier 4 - General Student,Masters,5
2018,2018 Q1,Georgia,Europe Other,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Georgia,Europe Other,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Georgia,Europe Other,Tier 4 - General Student,Pre-sessional English,1
2018,2018 Q1,Ghana,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,15
2018,2018 Q1,Ghana,Africa Sub-Saharan,Tier 4 - General Student,Below Bachelors,3
2018,2018 Q1,Ghana,Africa Sub-Saharan,Tier 4 - General Student,Doctoral,13
2018,2018 Q1,Ghana,Africa Sub-Saharan,Tier 4 - General Student,Masters,56
2018,2018 Q1,Grenada,America Central and South,Tier 4 - General Student,Masters,3
2018,2018 Q1,Guinea,Africa Sub-Saharan,Tier 4 - General Student,Masters,1
2018,2018 Q1,Guyana,America Central and South,Tier 4 - General Student,Masters,2
2018,2018 Q1,Hong Kong,Asia East,Tier 4 - General Student,Bachelors,31
2018,2018 Q1,Hong Kong,Asia East,Tier 4 - General Student,Below Bachelors,22
2018,2018 Q1,Hong Kong,Asia East,Tier 4 - General Student,Doctoral,3
2018,2018 Q1,Hong Kong,Asia East,Tier 4 - General Student,Masters,8
2018,2018 Q1,Hong Kong,Asia East,Tier 4 - General Student,Pre-sessional English,6
2018,2018 Q1,India,Asia South,Tier 4 - General Student,Bachelors,193
2018,2018 Q1,India,Asia South,Tier 4 - General Student,Below Bachelors,119
2018,2018 Q1,India,Asia South,Tier 4 - General Student,Doctoral,69
2018,2018 Q1,India,Asia South,Tier 4 - General Student,Masters,"1,248"
2018,2018 Q1,India,Asia South,Tier 4 - General Student,Pre-sessional English,1
2018,2018 Q1,Indonesia,Asia South East,Tier 4 - General Student,Bachelors,7
2018,2018 Q1,Indonesia,Asia South East,Tier 4 - General Student,Below Bachelors,15
2018,2018 Q1,Indonesia,Asia South East,Tier 4 - General Student,Doctoral,20
2018,2018 Q1,Indonesia,Asia South East,Tier 4 - General Student,Masters,19
2018,2018 Q1,Indonesia,Asia South East,Tier 4 - General Student,Pre-sessional English,2
2018,2018 Q1,Iran,Middle East,Tier 4 - General Student,Bachelors,13
2018,2018 Q1,Iran,Middle East,Tier 4 - General Student,Below Bachelors,42
2018,2018 Q1,Iran,Middle East,Tier 4 - General Student,Doctoral,29
2018,2018 Q1,Iran,Middle East,Tier 4 - General Student,Masters,16
2018,2018 Q1,Iran,Middle East,Tier 4 - General Student,Pre-sessional English,3
2018,2018 Q1,Iraq,Middle East,Tier 4 - General Student,Bachelors,1
2018,2018 Q1,Iraq,Middle East,Tier 4 - General Student,Below Bachelors,9
2018,2018 Q1,Iraq,Middle East,Tier 4 - General Student,Doctoral,11
2018,2018 Q1,Iraq,Middle East,Tier 4 - General Student,Masters,3
2018,2018 Q1,Iraq,Middle East,Tier 4 - General Student,Pre-sessional English,2
2018,2018 Q1,Israel,Middle East,Tier 4 - General Student,Bachelors,3
2018,2018 Q1,Israel,Middle East,Tier 4 - General Student,Below Bachelors,1
2018,2018 Q1,Israel,Middle East,Tier 4 - General Student,Doctoral,2
2018,2018 Q1,Ivory Coast,Africa Sub-Saharan,Tier 4 - General Student,Bachelors,8
2018,2018 Q1,Ivory Coast,Africa Sub-Saharan,Tier 4 - General Student,Masters,1
